RSN,EQID,Station_Code,Magnitude,Fault_Mechanisc,depth,Joyner_Boore_Rjb,Soil_site_class,PGA,T0.010S,T0.020S,T0.030S,T0.040S,T0.050S,T0.060S,T0.070S,T0.080S,T0.090S,T0.100S,T0.150S,T0.200S,T0.250S,T0.300S,T0.400S,T0.500S,T0.800S,T1.000S,T1.200S,T1.500S,T1.800S,T2.000S,T2.500S,T3.000S,T3.500S,T4.000S,T5.000S
353,70,KRM,4,0,15,96.52619,C,0.0037776,0.0037844,0.0038062,0.0039255,0.0039242,0.0039237,0.0040797,0.0041217,0.0042325,0.0049786,0.0056455,0.0082277,0.011909,0.012885,0.0089339,0.0034196,0.003217,0.001709,0.001148,0.00076748,0.00044927,0.00032695,0.00024796,0.0001649,9.78E-05,7.35E-05,5.86E-05,3.80E-05
354,70,NAU,4,0,15,161.85269,C,0.0066239,0.0066535,0.006745,0.0068701,0.0074323,0.0081953,0.01109,0.010061,0.012244,0.017376,0.015292,0.017923,0.024828,0.022116,0.010789,0.005155,0.0043663,0.0027744,0.0012846,0.0012131,0.00051652,0.00033692,0.00023171,0.00012177,9.24E-05,6.90E-05,4.88E-05,3.89E-05
362,73,CKR,5,0,10,35.1,B,0.0037717,0.0037843,0.0038274,0.0041249,0.0041921,0.0046703,0.0048049,0.005673,0.0064617,0.0073865,0.0068053,0.010849,0.011669,0.0078197,0.0066921,0.0049991,0.0054077,0.0020813,0.0020494,0.0013845,0.00070425,0.00047937,0.00037443,0.00019765,0.00011355,6.80E-05,5.22E-05,4.86E-05
363,73,DRC,5,0,10,254.76538,A,0.0066507,0.0067377,0.0073288,0.011714,0.011428,0.013107,0.014727,0.014488,0.013755,0.016996,0.021635,0.021721,0.010128,0.0074184,0.0053106,0.0024677,0.0015835,0.000385,0.00022595,0.00015147,0.00010114,7.26E-05,6.52E-05,3.48E-05,2.39E-05,2.27E-05,1.94E-05,1.52E-05
364,73,KLU,5,0,10,155.55091,A,0.0040416,0.0040555,0.0041077,0.0042727,0.0044298,0.0046864,0.0047756,0.0056889,0.0071909,0.0085981,0.0096608,0.015054,0.014787,0.009475,0.011144,0.0050849,0.0032281,0.0011354,0.00062912,0.00054444,0.00021726,0.00015211,0.00012498,6.83E-05,4.42E-05,2.98E-05,2.89E-05,2.89E-05
365,73,SND,5,0,10,142.45367,A,0.0067233,0.0067491,0.0068278,0.0069673,0.0075288,0.0080279,0.008095,0.0090336,0.011161,0.011479,0.011757,0.020097,0.029552,0.020147,0.013307,0.0090327,0.0059049,0.0021845,0.0010403,0.00052945,0.00032046,0.00020475,0.0001631,0.00010375,7.50E-05,4.89E-05,3.65E-05,2.81E-05
366,73,UTTA,5,0,10,28.58,A,0.010426,0.010513,0.010809,0.011316,0.013983,0.014948,0.01861,0.027648,0.033119,0.039273,0.032875,0.020434,0.016738,0.015093,0.0090768,0.0080259,0.0054807,0.0025531,0.0015374,0.0011478,0.00064692,0.00043508,0.00035442,0.00018721,0.00010021,6.79E-05,5.58E-05,4.71E-05
367,74,CHA,3.3,0,8,360.42811,A,0.0056254,0.0056655,0.0057985,0.0064215,0.0070761,0.0085245,0.010784,0.014274,0.013832,0.019945,0.023865,0.015402,0.0087268,0.0065719,0.0078235,0.0054782,0.0056054,0.0021595,0.00092524,0.00053784,0.00027122,0.00021204,0.00014755,9.05E-05,6.49E-05,4.10E-05,2.90E-05,2.36E-05
368,75,ALM,5.6,0,17.4,110.51666,A,0.010423,0.010456,0.010571,0.011182,0.011237,0.013077,0.014338,0.014124,0.017422,0.020471,0.023954,0.027914,0.030321,0.03324,0.029866,0.014357,0.010063,0.0083434,0.005146,0.0036679,0.0022425,0.0012585,0.00089007,0.00059889,0.00035184,0.00024254,0.00020729,0.00013124
369,75,BAG,5.6,0,17.4,99.53,A,0.010416,0.010443,0.010542,0.011182,0.012209,0.013134,0.016442,0.016087,0.017493,0.020789,0.020491,0.025809,0.027121,0.044122,0.040287,0.023587,0.012864,0.0055038,0.0036017,0.0022984,0.0012218,0.00090321,0.00073424,0.00035757,0.00028222,0.00022971,0.00015275,0.00012769
370,75,BAR,5.6,0,17.4,281.94621,A,0.0070527,0.0070646,0.0071013,0.0071662,0.0073233,0.0073168,0.0076198,0.007999,0.0079371,0.0080848,0.0087067,0.016822,0.020629,0.026194,0.023357,0.020564,0.0093202,0.0030057,0.0021067,0.0019859,0.00095513,0.00049873,0.00034869,0.00022386,0.00012146,8.83E-05,6.84E-05,4.87E-05
